date,Dakar_yoff,Diourbel,Fatick,Kaffirine,Kaolak,Kedougou,Kolda,Louga,Matam,Stlouis,Tamba,Thies,Sediou,Ziguinchor
31/01/2000,0,0.17113632,0.47157612,0.25746784,0.4663452,0.000502892,1.35E-06,0.3861246,0.16315877,0.9774715,0.011463532,0.6178941,0.049000435,0.030031797
29/02/2000,0,0.10611148,0.07124593,0.05801121,0.05022777,0,0,0.4655081,0.948818,0.91149485,0.014556711,0.17888978,0,0.01911752
31/03/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/04/2000,0,0.009870498,0.001051841,0.05881894,0,3.0878892,0.6154121,0.000227325,0.14283311,0.004710214,0.034658093,0.066140555,0.04920592,0.065123156
31/05/2000,94,0,0,0.31506202,0,50.842754,12.479439,0.34394485,0,0.04986731,12.867519,0.05393795,1.5220761,2.846712
30/06/2000,174,27.387302,26.143492,52.113297,40.839615,168.50075,128.40457,1.1974394,36.562836,0,85.866806,8.77479,119.38209,122.44816
31/07/2000,64,99.82469,104.6514,158.677,138.26225,321.69458,224.59396,80.60756,74.738556,63.26947,181.018,63.32188,352.464,342.55325
31/08/2000,83,197.79068,221.95737,158.6588,195.14023,284.22208,288.51343,116.30652,149.51865,92.98167,222.3664,185.7224,355.3797,412.68738
30/09/2000,0,174.22766,158.13533,168.4635,184.45248,220.02452,191.07661,105.36808,109.85015,89.1448,134.89319,84.911285,240.81,355.83124
31/10/2000,0,56.472485,67.08362,60.545345,72.75009,125.04021,89.23253,37.944923,35.912815,27.07921,64.52574,58.815804,146.13153,179.93329
30/11/2000,0,0.8780828,0.8553384,0.9437655,1.1544642,2.2866404,2.4322498,0.7523834,1.2674189,0.8098246,1.5971693,0.7938269,4.273086,3.3004405
31/12/2000,0,0.70873356,0.86930406,1.3325704,0.9460063,0.18570426,0.36617395,0.2276333,0.7062117,0.79505813,0.19981423,0.9704539,0.6461158,0.6875791
31/01/2001,0,0.2900173,0.21143432,0.5110129,0.3362133,0.011354178,0.03887923,0.56034386,0.19681478,0.105354816,0,0.477185,0.018920317,0.03402309
28/02/2001,0,0.20615062,0.14739202,0.056997836,0.0855608,0.11841197,0.59818053,0.6217627,1.2447903,1.208787,0.24623235,0.28334916,0.36556956,0.21366857
31/03/2001,0,0,0,0.003440852,0,0,0,0,0,0,0,0.001138314,0,0
30/04/2001,2,0,0,0,0,0,0,0,0.00772913,0,0,0,0,0
31/05/2001,112,0,0,0,0,46.093132,9.202461,0,0.005542813,0,12.297315,0,0,0.07988268
30/06/2001,138,35.51556,33.159462,83.704475,47.132145,165.0134,125.06984,5.023942,13.993791,1.6878505,84.304115,10.900356,181.93909,152.31633
31/07/2001,137,98.68682,122.13199,141.39996,150.05107,296.46014,190.38443,66.70225,67.76137,64.87645,139.85657,32.872498,233.61168,226.48712
31/08/2001,22,163.67802,182.62604,169.41103,190.45798,376.55966,246.07469,122.94519,101.00889,92.15633,150.00543,184.26364,276.7992,318.70673
30/09/2001,2,154.62659,145.84267,138.18399,150.30363,196.88991,207.92036,124.79736,108.87487,152.55655,148.61604,145.77171,185.09413,350.15533
31/10/2001,0,28.728119,30.49342,30.714607,41.109737,84.72555,66.15511,13.319407,10.863681,9.437347,64.096214,16.552563,92.97992,99.373726
30/11/2001,33,1.7963473,2.0340257,1.7783741,2.1624568,2.6189578,2.7011359,0.83212405,0.98655534,1.0028485,1.889702,1.9932836,4.677081,3.714853
31/12/2001,0,0.7799265,0.8966813,1.5418696,0.9750086,0.22800173,0.920447,0.25257716,0.77592236,0.83607626,0.21001339,0.9797436,1.1252075,0.76281494
31/01/2002,0,0.88711846,0.93173325,0.946227,0.798726,0.002061444,0.05271072,0.9569019,0.20352313,1.1081283,0.064819045,0.7777026,0.080844775,0.13024032
28/02/2002,0,0.24142277,0.17571126,0.10907389,0.10845836,0.030793436,0.5300433,0.64531595,1.0513924,1.2379459,0.25445426,0.30333686,0.2868476,0.18354268
31/03/2002,0,0,0.000953744,0.002541142,0,0.18990804,0.003489832,0.001721265,0.001744707,0.004833035,0.05607201,0.010073457,0.18569508,0.07223933
30/04/2002,6,0,0,0.10110244,0.023525195,0.797978,0.44863793,0.00394894,0.006026559,0.000562957,0.026809283,0.029923385,0,0.023798678
31/05/2002,1,0,0,0,0,30.450802,4.996232,0,0.0445181,0,7.055548,0,0.05398502,0
30/06/2002,82,17.78362,17.171192,39.37084,29.439232,166.21123,126.36637,7.137082,35.437756,4.549117,91.13905,10.8838825,100.8476,78.10926
31/07/2002,77,103.33517,118.251366,128.55324,133.57791,294.32303,169.83333,72.1617,47.109917,42.564354,139.69078,58.97807,178.93155,314.0159
31/08/2002,36,214.45255,262.79425,178.65424,237.92123,348.24014,241.20514,98.92602,139.73065,43.503353,219.11461,203.61186,213.66321,277.698
30/09/2002,0,146.35333,143.2524,134.01184,164.70609,182.30661,217.46487,100.45214,76.18507,53.38108,123.15466,113.22513,270.37836,298.94794
31/10/2002,0,59.539524,62.69859,81.78117,68.104454,125.77357,99.60007,58.92337,24.321995,56.88169,88.256325,48.878437,114.84793,145.49821
30/11/2002,0,0.7381318,0.8364517,0.676923,0.5849066,2.3871002,1.4556391,0.7557126,0.9636027,0.94120437,0.76256806,0.79960704,0.6524093,0.24803555
31/12/2002,0,0.9216862,1.0716165,1.6997759,1.137506,0.2283995,0.7562085,0.26383808,1.1893431,0.8885515,0.20272201,1.1930625,0.9412631,0.87367684
31/01/2003,0,0.5111324,0.47198045,0.68309313,0.37425047,0.005381002,0.048100743,0.6313315,0.022063365,0.01941733,0.054868344,0.44172478,0.06531763,0.05947032
28/02/2003,0,0.13433431,0.07160389,0.029196262,0.0478947,0,0.08536324,0.56806046,0.78257835,1.3187636,0.12139563,0.2692211,0.044729963,0.027074479
31/03/2003,0,0.007539142,0.006296036,0,0.001531571,0,0,0,0.014083981,0.03796133,0.008163223,0.022315096,0.28873587,0.003975973
