date,Dakar_yoff,Diourbel,Fatick,Kaffirine,Kaolak,Kedougou,Kolda,Louga,Matam,Stlouis,Tamba,Thies,Sediou,Ziguinchor
1/1/2000,20.779694,24.37149,24.603912,26.248444,25.379303,27.953522,28.455475,24.357819,26.375397,21.336334,28.162506,23.117584,26.642975,26.867584
2/1/2000,20.893707,25.405426,25.493317,26.944489,26.233551,27.684723,28.83902,25.354645,27.77652,22.18277,28.83316,24.25113,26.880035,27.350739
3/1/2000,21.74112,27.383698,27.346588,29.200104,28.090729,31.202057,31.213776,27.129791,32.352448,22.942291,32.25479,25.202057,28.942291,28.627838
4/1/2000,21.808502,28.490143,28.005768,30.308502,29.23233,32.849518,32.898346,28.017487,35.662018,22.634674,34.28897,25.17569,29.74405,28.8378
5/1/2000,21.599762,25.988434,26.39273,28.882965,27.40445,33.269684,33.025543,25.04898,35.537262,21.464996,34.156403,23.381012,29.39273,28.359528
6/1/2000,24.4357,27.701324,27.504059,28.853668,28.226715,28.947418,30.951324,26.797028,33.58609,24.259918,32.351715,26.177887,28.672028,28.412262
7/1/2000,25.89444,27.755768,27.746002,28.027252,27.912018,26.527252,27.57022,27.531158,30.66983,25.99405,29.10147,26.97647,26.82022,26.86319
8/1/2000,27.287994,27.498932,27.629791,27.207916,27.36612,25.676666,26.395416,27.662994,29.164948,27.623932,27.133698,27.387604,26.2294,26.342682
9/1/2000,27.568268,27.710846,27.845612,27.527252,27.624908,26.17569,26.865143,28.41983,30.662018,28.154205,27.60733,27.761627,26.89444,27.017487
10/1/2000,27.158966,27.1492,27.360138,27.221466,27.174591,26.532013,27.278107,27.887482,29.670685,27.24295,28.188263,27.432404,27.477325,27.574982
11/1/2000,25.940948,26.720245,26.456573,27.112823,26.974152,25.98587,26.300323,27.505402,28.909698,25.989777,28.714386,26.665558,26.57962,26.995636
12/1/2000,23.478424,24.497955,24.111237,25.109283,25.148346,25.204987,25.384674,24.984283,26.453033,23.251862,27.079987,24.146393,24.828033,25.57608
1/1/2001,21.421783,24.027252,23.80655,24.82022,24.742096,25.679596,26.130768,24.699127,25.935455,21.974518,27.167877,23.329987,25.30069,25.753815
2/1/2001,21.116364,26.540192,26.159332,27.02066,27.08902,28.067535,29.243317,26.780426,27.952301,22.924957,29.70816,25.061676,27.223785,27.462067
3/1/2001,21.274078,27.555328,27.158844,28.445953,28.317047,31.401031,31.170563,27.217438,31.85025,22.623688,31.93814,24.795563,28.451813,28.166656
4/1/2001,21.02945,27.289215,27.166168,29.375153,28.474762,32.902496,32.125153,26.410309,33.576324,21.740387,33.44937,24.127106,29.009918,28.521637
5/1/2001,22.379059,27.769684,27.533356,29.691559,29.02359,33.3107,32.84195,26.593903,35.349762,22.76773,34.08609,24.527496,29.634918,28.759918
6/1/2001,24.77774,28.365631,27.748444,29.369537,28.828522,28.896881,29.988678,27.365631,33.717194,25.197662,31.670319,26.510162,28.293365,28.115631
7/1/2001,26.691559,27.95523,27.806793,27.734528,27.73648,26.781403,27.230621,28.289215,30.972809,27.088043,28.197418,27.4357,26.695465,26.77945
8/1/2001,27.386627,27.949127,27.986237,27.7128,27.742096,26.685455,27.2128,28.4003,30.896393,27.849518,28.079987,27.841705,26.915924,27.005768
9/1/2001,27.70816,27.579254,27.848785,27.600739,27.616364,26.298004,26.90738,28.159332,30.260895,28.15152,27.65152,27.587067,26.741364,26.880035
10/1/2001,28.071686,28.835358,28.876373,29.27481,29.206451,27.417389,28.481842,29.569733,32.34903,28.731842,30.714264,28.417389,28.018951,28.08731
11/1/2001,27.030792,27.128448,27.263214,27.962433,28.063995,27.80423,28.687042,27.706573,30.134308,26.89212,29.823761,26.849152,27.759308,27.67923
12/1/2001,25.672028,26.238434,26.224762,26.96695,26.95523,27.425934,27.99234,27.000153,28.543121,25.86148,28.320465,26.213043,27.099762,27.39859
1/1/2002,22.210358,23.472076,23.987701,25.542389,24.823639,27.09903,28.083405,23.235748,25.585358,21.96817,27.917389,23.647858,26.188873,26.054108
2/1/2002,21.433014,24.83731,25.481842,27.011139,26.776764,29.304108,29.977936,25.450592,28.22403,22.673248,29.89981,24.24356,27.335358,27.548248
3/1/2002,20.15152,25.34488,25.792145,27.948395,27.321442,32.048004,31.874176,25.514801,30.622223,21.542145,32.122223,23.549957,28.534332,28.075348
4/1/2002,19.903229,25.801666,26.344635,28.73526,27.881744,33.19034,32.91104,25.49112,32.1669,20.981354,33.46768,23.293854,28.786041,28.32315
5/1/2002,21.372711,27.01529,26.991852,29.82779,28.845367,33.761383,33.718414,27.10904,35.62857,22.394196,34.851227,24.653961,29.411774,28.470367
6/1/2002,24.458405,28.163483,28.02481,29.74942,29.261139,29.563873,31.007233,27.626373,34.44864,24.845123,32.444733,26.698639,28.78067,28.419342
7/1/2002,26.223053,28.66446,28.816803,29.668365,29.416412,28.029694,28.490631,28.238678,33.342194,26.271881,30.28946,27.769928,27.857819,27.9711
8/1/2002,27.170563,28.16275,28.236969,28.496735,28.465485,26.717438,27.428375,28.371735,31.660797,27.492828,28.641266,27.834625,27.067047,27.291656
9/1/2002,27.55191,28.225739,28.286285,28.311676,28.28238,26.70816,27.423004,28.348785,31.93277,28.018707,28.321442,28.03238,27.133942,27.237457
10/1/2002,27.562408,28.16397,28.492096,28.597565,28.435455,27.48819,28.249908,28.755768,32.466705,27.720612,30.312408,27.923737,27.511627,27.6503
11/1/2002,26.434113,26.592316,27.1763,27.523956,27.047394,28.346222,28.65091,27.598175,30.428253,25.887238,29.486847,26.314972,27.367706,27.547394
12/1/2002,24.37149,25.160553,26.00235,26.260162,26.12149,26.38321,27.656647,26.088287,27.512115,24.119537,27.80899,25.15274,26.275787,27.0961
1/1/2003,21.009918,23.541168,24.195465,24.537262,24.386871,26.584137,27.05484,24.240387,25.037262,21.427887,27.129059,22.96109,25.578278,25.709137
2/1/2003,19.121246,23.855621,24.709137,25.80484,25.285309,29.656403,29.49234,23.668121,28.355621,19.8107,29.879059,21.86148,26.843903,26.58023
3/1/2003,20.586334,26.822662,27.451569,28.762115,28.03946,32.416412,32.20352,26.797272,32.293365,21.892975,33.00821,24.404694,28.795319,28.687897
4/1/2003,20.357086,27.357086,27.476227,29.81607,28.587555,34.15982,33.638336,27.052399,34.495758,21.632477,34.527008,24.095367,29.462555,28.712555
5/1/2003,22.668365,26.994537,27.076569,29.068756,28.240631,34.05899,33.08438,26.775787,35.90274,23.025787,34.111725,24.762115,29.250397,28.365631
6/1/2003,24.064117,27.714508,27.528961,29.31607,28.579742,29.230133,30.825836,26.75943,33.84146,24.177399,32.068024,25.929352,29.235992,28.812164
7/1/2003,26.2211,28.25235,28.021881,27.793365,28.057037,26.2836,26.844147,27.949615,31.766022,26.297272,28.031647,27.285553,26.478912,26.625397
8/1/2003,27.19693,28.142242,27.97232,27.466461,27.76529,26.032867,26.460602,28.45279,29.636383,27.573883,26.999664,27.75357,26.601227,26.792633
9/1/2003,27.423004,27.622223,27.889801,27.516754,27.608551,26.356598,26.979645,28.128082,29.348785,28.046051,27.413239,27.67691,27.053864,27.174957
10/1/2003,27.53482,28.235992,28.476227,28.530914,28.456696,27.331696,27.913727,28.527008,31.355133,27.777008,28.976227,28.06607,27.92154,28.052399
11/1/2003,25.798615,26.671661,27.02713,27.642365,27.292755,27.267365,27.534943,27.034943,30.572052,25.421661,29.08377,26.310333,27.312286,27.632599
