date;Dakar_yoff;Diourbel;Fatick;Kaffirine;Kaolak;Kedougou;Kolda;Louga;Matam;Stlouis;Tamba;Thies;Sediou;Ziguinchor
01/01/2000;3.9096699;0.29218477;0.49384123;0.3244905;0.9723837;0.96959245;1.3881475;0.09079464;0.19628927;0.26661342;0.93672144;0.34379214;1.6457607;2.0496445
01/02/2000;2.973322;0.18363354;0.44788048;0.23440364;0.9312937;0.70834064;1.1259569;0.10689907;0.19391161;0.29440224;0.75040853;0.23990217;1.5836889;2.089533
01/03/2000;2.0904503;0.11938531;0.33787173;0.16264245;0.826804;0.59870166;1.0329978;0.060895458;0.2111122;0.29484648;0.6891135;0.19183941;1.5281253;2.0690374
01/04/2000;2.5401525;0.06874371;0.22572559;0.09128172;0.7298412;0.47166085;0.86804014;0.05296059;0.25450158;0.33731014;0.52018744;0.11376757;1.3609575;1.8674526
01/05/2000;2.8068423;0.03997702;0.1507746;0.053610653;0.5956925;0.46180004;0.7591946;0.04714355;0.24840143;0.28776097;0.4150169;0.08991733;1.2440906;1.724164
01/06/2000;3.265228;0.2955487;0.5534301;0.5514696;1.1311537;2.759668;1.3979236;0.062268227;0.40637702;0.27467218;0.994171;0.083722174;1.9408008;2.196826
01/07/2000;3.5866163;1.3022823;1.7852607;1.9168881;2.3419774;3.6763642;2.947133;0.77981037;1.8648393;0.8751694;2.3062444;0.8778302;3.4389486;3.788459
01/08/2000;3.114827;3.210104;3.4941192;3.5243425;3.5726717;3.8008235;3.6040173;3.1608808;3.1133928;2.6759534;3.4503815;2.7570817;3.3347318;3.6386392
01/09/2000;3.114719;3.3389657;3.605158;3.7919571;3.7542684;4.0636735;3.9910517;2.6817284;1.822494;1.1115047;3.9585066;2.811849;3.6304173;3.9284015
01/10/2000;3.5504847;3.3658807;3.6382089;3.7324884;3.755455;4.1735096;4.0424905;2.55193;2.2455146;1.4726874;4.2229805;2.718821;3.7985396;4.1579614
01/11/2000;4.9137397;1.5215883;1.7563254;2.1974957;2.2898326;3.694051;3.6889138;0.6840909;0.6424505;0.35204554;2.5153878;1.0233223;3.6457534;3.9059072
01/12/2000;4.8950353;0.4458679;0.80720985;0.95129293;1.2592366;2.0367;1.9817836;0.21555927;0.238752;0.2866378;0.9607868;0.36109892;2.1083746;2.304703
01/01/2001;3.6251657;0.25215372;0.5469769;0.55486804;0.9853095;1.3700789;1.2728535;0.13472885;0.19537285;0.29474032;0.5581314;0.23981743;1.7745588;2.1702695
01/02/2001;2.737865;0.15945919;0.42117202;0.37330297;0.89045334;1.1049072;0.95564127;0.10654051;0.20002481;0.27968082;0.38849562;0.17583743;1.5752782;2.082494
01/03/2001;2.2147746;0.10259356;0.31759962;0.24522655;0.7767053;0.9797644;0.8020676;0.09186007;0.21021953;0.2837656;0.30194038;0.13488485;1.4760262;2.0002904
01/04/2001;2.0676665;0.06063562;0.21247286;0.141765;0.67167914;0.8159252;0.6930111;0.07496122;0.2392335;0.30909294;0.22149831;0.080652535;1.3597887;1.8982152
01/05/2001;2.3509488;0.041584484;0.15084165;0.08447282;0.5865749;0.759989;0.5801674;0.06856769;0.24826917;0.2788445;0.16128458;0.061740167;1.2217741;1.7000222
01/06/2001;2.86258;0.15539117;0.15678816;0.34766737;0.72837806;2.985672;1.987297;0.19583479;0.38704556;0.25178212;1.2009767;0.11434313;2.3871977;2.5333035
01/07/2001;3.5755374;2.2620335;2.8130393;2.8630486;3.2607;3.7477064;3.4354246;1.1902359;2.1112058;1.0276847;3.1072488;1.5015826;3.335924;3.755901
01/08/2001;3.7827418;3.1256201;3.4789257;3.4769783;3.565414;4.1708536;3.7848558;2.5989144;2.3471982;2.6228364;3.5485468;2.70438;3.426118;3.7552054
01/09/2001;3.1530783;3.5490842;3.8055832;3.8399007;3.8458939;4.196439;4.0202084;3.091503;2.9972103;2.3763328;3.8853054;3.1461427;3.6747465;3.907091
01/10/2001;3.2373443;3.0004168;3.0921698;3.3526006;3.6913757;4.4799294;3.8187327;1.3752463;0.91705704;1.1058487;2.7455413;2.4578576;4.003391;4.351307
01/11/2001;5.1818824;0.9979857;1.5953462;1.4604489;2.0206096;2.439904;2.1376462;0.23953617;0.23837015;0.43171924;0.98497325;1.0207715;3.2739117;3.697182
01/12/2001;4.5011005;0.3517829;0.7545976;0.63118243;1.1797137;1.3386458;1.1157813;0.10696519;0.19227155;0.29312912;0.34728274;0.49452484;1.9670454;2.2277384
01/01/2002;4.6328344;1.7528441;1.979556;1.4074007;2.1109033;0.93667114;0.8058101;1.6178461;0.82684404;1.7847847;0.26747584;1.4658766;1.8656561;2.4649966
01/02/2002;2.799388;0.68131834;0.7668594;0.38933662;1.1313968;0.7395018;0.6374763;0.48567075;0.18538907;0.4859753;0.13589673;0.5696006;1.6079257;2.1458752
01/03/2002;1.9562281;0.24176762;0.4409356;0.2334658;0.88685566;0.62803364;0.55115205;0.22949931;0.20237732;0.34685618;0.098939985;0.26965514;1.5131607;2.0862212
01/04/2002;1.8979423;0.13717078;0.31149295;0.15949178;0.7957518;0.5324241;0.5198205;0.13932213;0.22756028;0.3335532;0.07918384;0.17854571;1.3794405;1.9546319
01/05/2002;1.5360378;0.07885788;0.22567809;0.12401026;0.6704014;0.56977105;0.45026186;0.09433087;0.2379669;0.28153044;0.07355865;0.1299791;1.2408727;1.7436687
01/06/2002;2.4706237;0.19784644;0.27830434;0.47500616;0.72167444;2.9420984;1.6461313;0.105411746;0.5146535;0.30252618;1.4219433;0.104720704;2.2202487;2.249578
01/07/2002;4.4215693;0.7590512;0.71551275;1.1553913;1.4548842;2.892565;2.97127;0.10616891;0.4309276;0.29980764;2.0598173;0.12112688;3.2542813;3.6926074
01/08/2002;3.614366;2.3226132;2.438767;2.5493336;2.6057186;3.6206636;3.1566582;1.8302705;1.2089778;1.2382259;2.3904862;1.867651;3.4335759;3.411145
01/09/2002;3.3939555;3.499781;3.6879945;3.9942338;3.8884356;4.248013;4.0453596;3.0278666;1.4554942;2.0984757;3.9076962;2.9293299;3.7924974;4.057755
01/10/2002;3.748309;2.5584483;2.756603;3.2476065;3.4248765;3.751764;3.7260187;1.7855698;0.61938816;1.3558902;2.991884;2.144372;3.986652;4.3174915
01/11/2002;6.2602534;0.52207524;0.78127813;0.92255974;1.4237185;1.4849259;1.5507191;0.30423608;0.17591752;0.42636693;0.40404406;0.62305105;3.268239;3.5959864
01/12/2002;4.2255893;0.15019533;0.36230218;0.3732182;0.8865017;0.59528744;0.6572846;0.16253534;0.15793648;0.37912744;0.14569145;0.22990257;1.8786108;2.2667916
01/01/2003;4.2035656;0.079273246;0.23843348;0.1919223;0.6802287;0.3422685;0.4063202;0.07500686;0.1501888;0.31928065;0.08011237;0.13753307;1.3785521;1.7854637
